hold_days,stop_loss_frac,entry_threshold,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held,stop_loss_exit_count
8,,0.001,-0.11460974960587622,-2.549522981952378,-3.698962295417191,2.852572647294055,42,42,8.0,0
8,0.1,,-29.58602040832865,-1.0587841047408095,-37.63970920888152,8.424420154625434,234,234,4.683760683760684,154
8,0.1,0.0,-19.092081304254005,-1.9362143659282218,-23.152556015333452,4.0255931751532925,118,118,4.398305084745763,80
8,0.1,0.0005,-12.57976096917549,-2.5585247073439716,-17.054203664797264,2.6659557451346307,87,87,4.264367816091954,62
8,0.1,0.001,-4.275414811831624,-2.6486676073189264,-7.111942473128454,1.5995734470807785,46,46,4.630434782608695,30
8,0.2,,-30.325214586163195,-1.059469692783092,-37.62939265473235,9.59744068248467,222,222,5.243243243243243,125
8,0.2,0.0,-18.759098323032,-1.9039135021013074,-22.82518334740312,4.345507864569448,115,115,4.721739130434782,72
8,0.2,0.0005,-11.899642425110502,-2.4650421068189825,-16.51306284594332,2.9592108770994403,85,85,4.6117647058823525,55
8,0.2,0.001,-2.311600312451123,-2.4842863445105836,-5.885108112052962,1.8395094641428953,45,45,5.133333333333334,26
8,0.3,,-31.701466176534197,-1.065421121653897,-38.81542909406932,9.970674486803519,221,221,5.46606334841629,117
8,0.3,0.0,-19.654411863074017,-1.9206256129012023,-23.742933145813314,4.532124766728873,112,112,5.008928571428571,67
8,0.3,0.0005,-12.871770009833504,-2.4858052247097295,-17.4455031895772,3.199146894161557,85,85,4.9411764705882355,53
8,0.3,0.001,-2.7154368082796254,-2.495096666618577,-5.990784450195878,1.9728072513996269,45,45,5.444444444444445,25
8,0.4,,-31.85077295146572,-1.0372899395296094,-38.740949817243,10.557184750733137,216,216,5.773148148148148,106
8,0.4,0.0,-18.634229263494007,-1.8894444219537487,-23.287665234936064,4.825379898693682,111,111,5.27027027027027,63
8,0.4,0.0005,-11.890562005881,-2.4402861830862586,-17.319803895008413,3.3591042388696346,84,84,5.178571428571429,50
8,0.4,0.001,-3.0390800973876364,-2.5058694943137225,-5.998361873495332,1.9728072513996269,45,45,5.533333333333333,25
9,,,-5.75585933936601,-1.1097571874872858,-17.71834249597285,14.262863236470274,168,168,9.0,0
9,,0.0,-20.150418666039737,-1.9704435345736142,-25.21524624348091,7.811250333244468,98,98,9.0,0
9,,0.0005,-9.96533769028225,-2.844504613966611,-15.379105380895385,5.545187949880033,71,71,9.0,0
9,,0.001,-3.2625918833663614,-2.6055463005531125,-6.455583207577343,2.9592108770994403,39,39,9.0,0
9,0.1,,-30.835714653386148,-1.0810236155745487,-37.331931508553694,8.984270861103706,218,218,5.022935779816514,147
9,0.1,0.0,-19.946750717741,-1.9468744481730487,-23.929331584988926,4.398826979472141,115,115,4.721739130434782,79
9,0.1,0.0005,-13.208486133155994,-2.573438703682163,-17.613659713967735,2.879232204745401,84,84,4.5476190476190474,61
9,0.1,0.001,-5.63203837724312,-2.6728902980808535,-8.434842542665903,1.7595307917888565,44,44,5.090909090909091,29
9,0.2,,-32.50642958577794,-1.0784911041834715,-39.52473247192919,9.67741935483871,204,204,5.602941176470588,123
9,0.2,0.0,-21.173144541062506,-1.9404938355169734,-25.082966459407057,4.665422553985604,112,112,5.107142857142857,74
9,0.2,0.0005,-13.33863748106049,-2.5046422065054497,-17.81146170656621,3.1458277792588643,82,82,4.975609756097561,56
9,0.2,0.001,-4.011143743254109,-2.5181205910927895,-7.181372239039652,1.999466808850973,43,43,5.6976744186046515,26
9,0.3,,-33.51662181788144,-1.093569313859308,-39.81710179478434,10.050653159157557,202,202,5.836633663366337,114
9,0.3,0.0,-21.981799264230993,-1.9562373790269818,-25.914523633520275,4.798720341242335,109,109,5.394495412844036,67
9,0.3,0.0005,-14.2710711537685,-2.525571078647063,-18.703038447048872,3.332444681418288,82,82,5.2926829268292686,52
9,0.3,0.001,-4.371947979245627,-2.5294129776278935,-7.467689212796416,2.079445481205012,43,43,5.953488372093023,23
9,0.4,,-31.908315145874976,-0.9983841408507043,-38.18680023859045,10.663822980538523,201,201,6.169154228855722,107
9,0.4,0.0,-21.109906587798,-1.9277464690970183,-25.83027801746193,5.118635030658491,108,108,5.694444444444445,63
9,0.4,0.0005,-13.445445690948999,-2.4847821821596634,-18.679439155032195,3.492402026126366,81,81,5.567901234567901,49
9,0.4,0.001,-4.695591268353616,-2.5401742428781913,-7.510089952286251,2.079445481205012,43,43,6.046511627906977,23
10,,,3.0222378221945068,-1.3948308558256703,-6.76636583052672,13.836310317248735,150,150,10.0,0
10,,0.0,-10.763756587177253,-2.366340223875622,-16.102382967735217,7.971207677952546,90,90,10.0,0
10,,0.0005,-10.923553136325237,-2.8319230198719847,-15.650266903071024,5.6518261796854175,66,66,10.0,0
10,,0.001,-6.078666161165369,-2.5036934767481798,-9.145789802925721,3.1724873367102107,38,38,10.0,0
10,0.1,,-29.469035717354675,-1.0799152012586406,-35.50396050716052,9.490802452679285,208,208,5.389423076923077,142
10,0.1,0.0,-20.632548746201994,-1.9426677085235353,-24.393042958098242,4.612103439082911,110,110,5.0636363636363635,78
10,0.1,0.0005,-13.761310253835502,-2.5792114635479337,-17.650867983916424,3.0925086643561714,81,81,4.901234567901234,58
10,0.1,0.001,-8.220857369789126,-2.5744972088832223,-10.938469071486475,1.8395094641428953,43,43,5.488372093023256,29
10,0.2,,-30.12403274168345,-1.0615428870240726,-37.78862408904505,10.263929618768328,190,190,6.178947368421053,112
10,0.2,0.0,-21.05385209965901,-1.9145521530053164,-24.783926020145735,4.958677685950414,107,107,5.485981308411215,71
10,0.2,0.0005,-13.354392728050001,-2.4858334368422645,-17.26034823587615,3.439082911223674,79,79,5.379746835443038,53
