K,hold_days,dte_min,dte_max,filter,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held
4,15,30,45,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
4,15,30,60,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
3,10,20,40,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
3,10,25,45,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
3,10,30,45,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
3,10,30,60,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
4,10,20,40,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
4,10,25,45,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
4,10,30,45,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
4,10,30,60,pred_top_half,1.3210862825794978,-1.4463760419438694,-6.037971322679154,13.48973607038123,132,132,10.0
1,15,20,40,none,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,20,40,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,25,45,none,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,25,45,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,30,45,none,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,30,45,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,30,60,none,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,15,30,60,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
2,15,20,40,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
2,15,25,45,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
2,15,30,45,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
2,15,30,60,pred_top_half,1.020225242544992,-1.4801876877598223,-6.670764970163543,19.00826446280992,117,117,15.0
1,10,20,40,none,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,20,40,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,25,45,none,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,25,45,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,30,45,none,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,30,45,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,30,60,none,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
1,10,30,60,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
2,10,20,40,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
2,10,25,45,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
